postID,tm_stamp,typ,fol,react,comments,repost,edit,link,exact_date
7173432779664293888,1710279650,Documents,16212859,693,20,69,no,https://www.linkedin.com/posts/ibm_2023-annual-report-activity-7173432779664293888-VA4t?utm_source=share&utm_medium=member_desktop,13-03-2024
7166818365125189632,1708702651,Documents,16212859,541,11,61,no,https://www.linkedin.com/posts/ibm_bhm-ibm-skillsbuild-activity-7166818365125189632-pc-5?utm_source=share&utm_medium=member_desktop,23-02-2024
7151249174624145408,1704990667,Documents,16212859,467,27,56,no,https://www.linkedin.com/posts/ibm_ibv-consumer-retail-study-activity-7151249174624145408-yMAq?utm_source=share&utm_medium=member_desktop,11-01-2024
7137852681657741313,1701796694,Documents,16212859,586,25,83,no,https://www.linkedin.com/posts/ibm_ibm-watsonxgovernance-activity-7137852681657741313-m_wI?utm_source=share&utm_medium=member_desktop,05-12-2023
7131356900952080384,1700247979,Documents,16212859,777,26,94,no,https://www.linkedin.com/posts/ibm_espn-fantasy-football-activity-7131356900952080384-To7k?utm_source=share&utm_medium=member_desktop,18-11-2023
7124836639641632768,1698693427,Documents,16212859,603,3,72,yes,https://www.linkedin.com/posts/ibm_cost-of-a-data-breach-activity-7124836639641632768-J6at?utm_source=share&utm_medium=member_desktop,31-10-2023
7103374756522967040,1693576516,Documents,16212859,1144,21,178,no,https://www.linkedin.com/posts/ibm_we-use-watsonx-for-that-activity-7103374756522967040-BVjs?utm_source=share&utm_medium=member_desktop,01-09-2023
7098233257879638016,1692350687,Documents,16212859,214,3,6,no,https://www.linkedin.com/posts/ibm_ibm-activity-7098233257879638016-p6Ew?utm_source=share&utm_medium=member_desktop,18-08-2023
7087789904650272768,1689860798,Documents,16212859,3218,52,326,no,https://www.linkedin.com/posts/ibm_apollo-11-anniversary-activity-7087789904650272768-Ouxx?utm_source=share&utm_medium=member_desktop,20-07-2023
7084844342997123073,1689158521,Documents,16212859,142,3,1,no,https://www.linkedin.com/posts/ibm_tips-to-rock-that-job-interview-activity-7084844342997123073-CwBP?utm_source=share&utm_medium=member_desktop,12-07-2023
7074793790087049217,1686762282,Documents,16212859,605,20,91,no,https://www.linkedin.com/posts/ibm_nature-cover-activity-7074793790087049217-ygk2?utm_source=share&utm_medium=member_desktop,14-06-2023
7074400072326680576,1686668413,Documents,16212859,676,8,42,no,https://www.linkedin.com/posts/ibm_edith-windsor-activity-7074400072326680576-KR7A?utm_source=share&utm_medium=member_desktop,13-06-2023
7074325317456142338,1686650590,Documents,16212859,186,4,1,no,https://www.linkedin.com/posts/ibm_tips-to-make-your-cv-stand-out-activity-7074325317456142338-a2hW?utm_source=share&utm_medium=member_desktop,13-06-2023
7063962331537420288,1684179861,Documents,16212859,552,11,82,no,https://www.linkedin.com/posts/ibm_think-2023-media-roundup-activity-7063962331537420288-Uq81?utm_source=share&utm_medium=member_desktop,16-05-2023
7042014874708709376,1678947180,Documents,16212859,248,2,20,no,https://www.linkedin.com/posts/ibm_ibm-sustainability-accelerator-activity-7042014874708709376-Akwa?utm_source=share&utm_medium=member_desktop,16-03-2023
7034503705626374144,1677156378,Documents,16212859,80,0,4,no,https://www.linkedin.com/posts/ibm_fintalk-2023-ibm-activity-7034503705626374144-l-un?utm_source=share&utm_medium=member_desktop,23-02-2023
7032013373227614208,1676562636,Documents,16212860,380,2,32,yes,https://www.linkedin.com/posts/ibm_skills-build-activity-7032013373227614208-55W7?utm_source=share&utm_medium=member_desktop,16-02-2023
7031913158315307008,1676538743,Documents,16212860,79,0,4,yes,https://www.linkedin.com/posts/ibm_ibm-at-cii-ai-india-show-2023-activity-7031913158315307008-9EY6?utm_source=share&utm_medium=member_desktop,16-02-2023
7029837091580649472,1676043770,Documents,16212860,281,8,42,no,https://www.linkedin.com/posts/ibm_brooklyn-plant-archives-activity-7029837091580649472-Tjqk?utm_source=share&utm_medium=member_desktop,10-02-2023
7017149027792150529,1673018700,Documents,16212860,538,12,97,no,https://www.linkedin.com/posts/ibm_5-trends-for-2023-activity-7017149027792150529-_c4z?utm_source=share&utm_medium=member_desktop,06-01-2023
6995963450724163584,1667967665,Documents,16212860,113,4,10,yes,https://www.linkedin.com/posts/ibm_wsj-ibm-cybersecurity-event-activity-6995963450724163584-Rpuf?utm_source=share&utm_medium=member_desktop,09-11-2022
6995276545967742976,1667803894,Documents,16212860,79,1,14,yes,https://www.linkedin.com/posts/ibm_techitup-ibm-product-series-activity-6995276545967742976-Rbin?utm_source=share&utm_medium=member_desktop,07-11-2022
6991074571277774850,1666802065,Documents,16212860,314,12,32,no,https://www.linkedin.com/posts/ibm_world-sustainability-day-activity-6991074571277774850-W-Hj?utm_source=share&utm_medium=member_desktop,26-10-2022
6986636928787902465,1665744049,Documents,16212860,401,4,2,yes,https://www.linkedin.com/posts/ibm_thinkmumbai-activity-6986636928787902465-u0pY?utm_source=share&utm_medium=member_desktop,14-10-2022
6983794377143832576,1665066332,Documents,16212860,177,32,21,no,https://www.linkedin.com/posts/ibm_hispanic-heritage-month-activity-6983794377143832576-PeoY?utm_source=share&utm_medium=member_desktop,06-10-2022
6981242791259447296,1664457986,Documents,16212861,233,26,29,yes,https://www.linkedin.com/posts/ibm_5-reasons-consultants-choose-ibm-for-their-activity-6981242791259447296-GL1j?utm_source=share&utm_medium=member_desktop,29-09-2022
6975734430741012480,1663144691,Documents,16212861,443,8,15,yes,https://www.linkedin.com/posts/ibm_meet-the-new-creators-isa-activity-6975734430741012480-Sjr4?utm_source=share&utm_medium=member_desktop,14-09-2022
6968080788286304256,1661319920,Documents,16212861,85,3,2,no,https://www.linkedin.com/posts/ibm_lg-cns-story-activity-6968080788286304256-FXTj?utm_source=share&utm_medium=member_desktop,24-08-2022
6964949106980986880,1660573269,Documents,16212861,90,7,11,no,https://www.linkedin.com/posts/ibm_open-hybrid-cloud-platform-activity-6964949106980986880-kwMW?utm_source=share&utm_medium=member_desktop,15-08-2022
6961363507288166400,1659718396,Documents,16212861,85,3,3,no,https://www.linkedin.com/posts/ibm_heres-how-we-tune-things-up-activity-6961363507288166400-Ic00?utm_source=share&utm_medium=member_desktop,05-08-2022
6960974100383088640,1659625554,Documents,16212861,234,7,37,no,https://www.linkedin.com/posts/ibm_automation-technologies-activity-6960974100383088640-n0s4?utm_source=share&utm_medium=member_desktop,04-08-2022
6958043790095912960,1658926913,Documents,16212861,745,14,242,yes,https://www.linkedin.com/posts/ibm_cost-of-data-breach-activity-6958043790095912960-aoTm?utm_source=share&utm_medium=member_desktop,27-07-2022
6953370746031153152,1657812773,Documents,16212861,184,5,28,no,https://www.linkedin.com/posts/ibm_green-computing-activity-6953370746031153152-nV6Y?utm_source=share&utm_medium=member_desktop,14-07-2022
6951119923028844544,1657276135,Documents,16212861,77,4,2,yes,https://www.linkedin.com/posts/ibm_zero-trust-pov-activity-6951119923028844544-upex?utm_source=share&utm_medium=member_desktop,08-07-2022
6949581333283110914,1656909306,Documents,16212861,115,4,6,yes,https://www.linkedin.com/posts/ibm_think2022-singapore-activity-6949581333283110914-_a6Q?utm_source=share&utm_medium=member_desktop,04-07-2022
6948182231068614656,1656575734,Documents,16212863,76,2,2,yes,https://www.linkedin.com/posts/ibm_think2022-singapore-activity-6948182231068614656-5fKM?utm_source=share&utm_medium=member_desktop,30-06-2022
6945219897740124160,1655869459,Documents,16212863,135,4,6,yes,https://www.linkedin.com/posts/ibm_think2022-singapore-activity-6945219897740124160-eRZG?utm_source=share&utm_medium=member_desktop,22-06-2022
6944821030481707008,1655774362,Documents,16212863,98,1,5,yes,https://www.linkedin.com/posts/ibm_think2022-singapore-activity-6944821030481707008-WVds?utm_source=share&utm_medium=member_desktop,21-06-2022
6943405687259414529,1655436918,Documents,16212863,280,20,18,yes,https://www.linkedin.com/posts/ibm_think-sydney-activity-6943405687259414529-bGNp?utm_source=share&utm_medium=member_desktop,17-06-2022
6939404652849283072,1654482997,Documents,16212863,171,5,7,yes,https://www.linkedin.com/posts/ibm_singapore-new-creators-activity-6939404652849283072-lbm-?utm_source=share&utm_medium=member_desktop,06-06-2022
6930943394026299392,1652465675,Documents,16212863,140,5,48,yes,https://www.linkedin.com/posts/ibm_think-broadcast-recap-activity-6930943394026299392-k9Mv?utm_source=share&utm_medium=member_desktop,13-05-2022
