postID,tm_stamp,typ,fol,react,comments,repost,edit,link,exact_date
7179366862080602112,1711694446,Images,16213300,51,4,3,yes,https://www.linkedin.com/posts/ibm_responsibleai-makingaireal-ibmpartners-activity-7179366862080602112-3qh_?utm_source=share&utm_medium=member_desktop,29-03-2024
7179017200027017216,1711611080,Images,16213300,49,2,1,yes,https://www.linkedin.com/posts/ibm_responsibleai-ai-activity-7179017200027017216-x1tf?utm_source=share&utm_medium=member_desktop,28-03-2024
7178284677483409409,1711436433,Images,16213300,193,4,6,no,https://www.linkedin.com/posts/ibm_meet-sanjula-group-manager-for-risk-and-activity-7178284677483409409-mrhD?utm_source=share&utm_medium=member_desktop,26-03-2024
7178123480985468929,1711398000,Images,16213300,178,8,12,yes,https://www.linkedin.com/posts/ibm_genai-ai-watsonx-activity-7178123480985468929-6ODq?utm_source=share&utm_medium=member_desktop,26-03-2024
7177944482326196225,1711355324,Images,16213300,86,1,8,no,https://www.linkedin.com/posts/ibm_sustainabilityinaction-ibmsustainability-activity-7177944482326196225-zNKv?utm_source=share&utm_medium=member_desktop,25-03-2024
7177000049892102144,1711130154,Images,16213300,415,11,34,no,https://www.linkedin.com/posts/ibm_ai-activity-7177000049892102144-8Zyl?utm_source=share&utm_medium=member_desktop,22-03-2024
7176533061243662336,1711018815,Images,16213300,259,10,10,no,https://www.linkedin.com/posts/ibm_join-the-ranks-of-our-distinguished-engineers-activity-7176533061243662336-Axjp?utm_source=share&utm_medium=member_desktop,21-03-2024
7176465369761554434,1711002676,Images,16213300,124,5,8,yes,https://www.linkedin.com/posts/ibm_watsonx-ibm-makingaireal-activity-7176465369761554434-rBPk?utm_source=share&utm_medium=member_desktop,21-03-2024
7176102921699229696,1710916262,Images,16213300,120,3,6,no,https://www.linkedin.com/posts/ibm_watsonx-ibm-makingaireal-activity-7176102921699229696-3cDy?utm_source=share&utm_medium=member_desktop,20-03-2024
7175865974489841664,1710859769,Images,16213300,2610,46,277,no,https://www.linkedin.com/posts/ibm_gtc24-genai-ai-activity-7175865974489841664-5NrJ?utm_source=share&utm_medium=member_desktop,19-03-2024
7175793237993910272,1710842427,Images,16213300,798,36,20,yes,https://www.linkedin.com/posts/ibm_womenshistorymonth-techsales-inspiration-activity-7175793237993910272-cdaS?utm_source=share&utm_medium=member_desktop,19-03-2024
7175576080093753345,1710790653,Images,16213300,320,9,25,no,https://www.linkedin.com/posts/ibm_womenshistorymonth-activity-7175576080093753345-LTXi?utm_source=share&utm_medium=member_desktop,19-03-2024
7174057519168782336,1710428600,Images,16213300,1359,33,75,no,https://www.linkedin.com/posts/ibm_piday-activity-7174057519168782336-5mdu?utm_source=share&utm_medium=member_desktop,14-03-2024
7173693238405521409,1710341748,Images,16213300,413,9,46,yes,https://www.linkedin.com/posts/ibm_women-have-a-prime-opportunity-to-take-the-activity-7173693238405521409-6i56?utm_source=share&utm_medium=member_desktop,13-03-2024
7173393056207949825,1710270179,Images,16213300,358,12,15,yes,https://www.linkedin.com/posts/ibm_sxsw-ai-sxsw2024-activity-7173393056207949825-0vsD?utm_source=share&utm_medium=member_desktop,13-03-2024
7172931848853991425,1710160219,Images,16213300,760,26,58,yes,https://www.linkedin.com/posts/ibm_ai-sxsw-sxsw2024-activity-7172931848853991425-Pw5-?utm_source=share&utm_medium=member_desktop,11-03-2024
7172281231328309248,1710005100,Images,16213300,361,19,22,yes,https://www.linkedin.com/posts/ibm_watsonx-genai-ai-activity-7172281231328309248-EsQF?utm_source=share&utm_medium=member_desktop,09-03-2024
7171939563530117120,1709923640,Images,16213300,324,25,39,no,https://www.linkedin.com/posts/ibm_ibmskillsbuild-teentechweek-activity-7171939563530117120-6xeg?utm_source=share&utm_medium=member_desktop,09-03-2024
7171867391373623297,1709906432,Images,16213300,139,15,12,no,https://www.linkedin.com/posts/ibm_leadership-advocacy-allyship-activity-7171867391373623297-GSvj?utm_source=share&utm_medium=member_desktop,08-03-2024
7171791836041216002,1709888419,Images,16213300,35,5,5,no,https://www.linkedin.com/posts/ibm_ready-to-accelerate-your-sales-career-as-activity-7171791836041216002-BSVC?utm_source=share&utm_medium=member_desktop,08-03-2024
7171731008642383872,1709873916,Images,16213303,58,5,9,yes,https://www.linkedin.com/posts/ibm_makingaireal-ai-ibm-activity-7171731008642383872-TsiY?utm_source=share&utm_medium=member_desktop,08-03-2024
7171504974567317505,1709820026,Images,16213303,259,6,38,yes,https://www.linkedin.com/posts/ibm_ai-activity-7171504974567317505--JvQ?utm_source=share&utm_medium=member_desktop,07-03-2024
7171361592561819648,1709785841,Images,16213303,476,16,19,no,https://www.linkedin.com/posts/ibm_womenhistorymonth-lifeatibm-internlife-activity-7171361592561819648--X_9?utm_source=share&utm_medium=member_desktop,07-03-2024
