postID,tm_stamp,typ,fol,react,comments,repost,edit,link,exact_date
7179477584651456514,1711720844,Videos,16213517,64,0,8,no,https://www.linkedin.com/posts/ibm_ai-adobesummit-activity-7179477584651456514-aos2?utm_source=share&utm_medium=member_desktop,29-03-2024
7179107761358589952,1711632671,Videos,16213517,1825,36,222,yes,https://www.linkedin.com/posts/ibm_ai-adobesummit-activity-7179107761358589952-bZWM?utm_source=share&utm_medium=member_desktop,28-03-2024
7178571675389554690,1711504858,Videos,16213517,157,4,11,yes,https://www.linkedin.com/posts/ibm_ibmpartners-techmahindra-techmamplifai-activity-7178571675389554690-MEwx?utm_source=share&utm_medium=member_desktop,27-03-2024
7178486380010897409,1711484522,Videos,16213517,631,19,107,yes,https://www.linkedin.com/posts/ibm_ai-genai-activity-7178486380010897409-kdkj?utm_source=share&utm_medium=member_desktop,27-03-2024
7178300074962116608,1711440104,Videos,16213517,231,9,21,no,https://www.linkedin.com/posts/ibm_ibm-lifeatibm-ibmconsulting-activity-7178300074962116608-cNRo?utm_source=share&utm_medium=member_desktop,26-03-2024
7178072909268070400,1711385943,Videos,16213517,575,12,71,no,https://www.linkedin.com/posts/ibm_ai-activity-7178072909268070400-AWbg?utm_source=share&utm_medium=member_desktop,25-03-2024
7177318267122831360,1711206023,Videos,16213517,328,22,23,no,https://www.linkedin.com/posts/ibm_ai-sxsw-activity-7177318267122831360-5VCU?utm_source=share&utm_medium=member_desktop,23-03-2024
7176660499902730240,1711049199,Videos,16213517,149,6,17,no,https://www.linkedin.com/posts/ibm_genai-ai-activity-7176660499902730240-2CcF?utm_source=share&utm_medium=member_desktop,22-03-2024
7176382282725806080,1710982866,Videos,16213517,170,4,12,no,https://www.linkedin.com/posts/ibm_workingmoms-womenhistorymonth-womeninstem-activity-7176382282725806080-7e5T?utm_source=share&utm_medium=member_desktop,21-03-2024
7174098418779181056,1710438351,Videos,16213517,1093,18,120,no,https://www.linkedin.com/posts/ibm_eu-ai-act-has-been-approved-transparency-activity-7174098418779181056-2Rcq?utm_source=share&utm_medium=member_desktop,14-03-2024
7174055552161869824,1710428131,Videos,16213521,287,7,29,no,https://www.linkedin.com/posts/ibm_ai-techtypequiz-ibmskillsbuild-activity-7174055552161869824-3PKv?utm_source=share&utm_medium=member_desktop,14-03-2024
7173400804073091072,1710272027,Videos,16213521,61,2,0,no,https://www.linkedin.com/posts/ibm_linkedinlive-activity-7173400804073091072-4Fii?utm_source=share&utm_medium=member_desktop,13-03-2024
7172954819639406594,1710165696,Videos,16213521,541,35,47,no,https://www.linkedin.com/posts/ibm_interviewready-lifeatibm-womenshistorymonth-activity-7172954819639406594-64-5?utm_source=share&utm_medium=member_desktop,11-03-2024
7172841838486249473,1710138759,Videos,16213521,87,0,8,yes,https://www.linkedin.com/posts/ibm_ibm-cybersecurity-levelupcyberresilience-activity-7172841838486249473-FEct?utm_source=share&utm_medium=member_desktop,11-03-2024
7171887490243440640,1709911224,Videos,16213521,414,8,39,yes,https://www.linkedin.com/posts/ibm_ai-genai-activity-7171887490243440640-tboo?utm_source=share&utm_medium=member_desktop,08-03-2024
7171784599189016576,1709886693,Videos,16213521,121,2,12,yes,https://www.linkedin.com/posts/ibm_ibmpower-ibm-activity-7171784599189016576-wO0M?utm_source=share&utm_medium=member_desktop,08-03-2024
7171155178987962368,1709736628,Videos,16213521,620,21,96,no,https://www.linkedin.com/posts/ibm_watsonx-activity-7171155178987962368-ugSU?utm_source=share&utm_medium=member_desktop,06-03-2024
7170867611134623745,1709668066,Videos,16213521,874,31,110,no,https://www.linkedin.com/posts/ibm_ai-activity-7170867611134623745-wkDk?utm_source=share&utm_medium=member_desktop,06-03-2024
7170669547887296512,1709620844,Videos,16213521,105,5,13,yes,https://www.linkedin.com/posts/ibm_genai-ibmstorage-levelupcyberresilience-activity-7170669547887296512-2h5k?utm_source=share&utm_medium=member_desktop,05-03-2024
7170275189274988544,1709526822,Videos,16213521,218,7,10,yes,https://www.linkedin.com/posts/ibm_responsibleai-ibm-activity-7170275189274988544-38DJ?utm_source=share&utm_medium=member_desktop,04-03-2024
7169352677888315394,1709306878,Videos,16213523,721,21,139,no,https://www.linkedin.com/posts/ibm_womenshistorymonth-activity-7169352677888315394-SJJ5?utm_source=share&utm_medium=member_desktop,01-03-2024
7169260454186344448,1709284890,Videos,16213523,96,1,8,yes,https://www.linkedin.com/posts/ibm_ibmpartners-ibmcloud-ibm-activity-7169260454186344448-J19Q?utm_source=share&utm_medium=member_desktop,01-03-2024
7169190398031065088,1709268188,Videos,16213523,279,35,60,no,https://www.linkedin.com/posts/ibm_genai-responsibleai-ibm-activity-7169190398031065088-y1Cb?utm_source=share&utm_medium=member_desktop,01-03-2024
7168987038753521664,1709219703,Videos,16213523,1241,19,194,no,https://www.linkedin.com/posts/ibm_watsonx-ai-activity-7168987038753521664-2eOO?utm_source=share&utm_medium=member_desktop,29-02-2024
7168475778903470080,1709097809,Videos,16213523,172,6,10,yes,https://www.linkedin.com/posts/ibm_cybersecurity-ibm-responsibleai-activity-7168475778903470080-0J9-?utm_source=share&utm_medium=member_desktop,28-02-2024
7168298558633226240,1709055556,Videos,16213523,176,10,11,no,https://www.linkedin.com/posts/ibm_blackhistorymonth-activity-7168298558633226240-olCV?utm_source=share&utm_medium=member_desktop,27-02-2024
7168260925240594432,1709046584,Videos,16213523,277,4,46,no,https://www.linkedin.com/posts/ibm_security-activity-7168260925240594432-5fxH?utm_source=share&utm_medium=member_desktop,27-02-2024
7165609243495137281,1708414374,Videos,16213523,236,5,19,yes,https://www.linkedin.com/posts/ibm_dyk-levelupcyberresilience-security-activity-7165609243495137281-S6-A?utm_source=share&utm_medium=member_desktop,20-02-2024
7165276932056576000,1708335145,Videos,16213523,181,4,4,yes,https://www.linkedin.com/posts/ibm_ibmpartner-watsonx-fundamento-activity-7165276932056576000-Ig-y?utm_source=share&utm_medium=member_desktop,19-02-2024
7164287025452449792,1708099132,Videos,16213523,243,13,8,no,https://www.linkedin.com/posts/ibm_techtypequiz-ibmskillsbuild-activity-7164287025452449792-iZOm?utm_source=share&utm_medium=member_desktop,16-02-2024
7164124071209684992,1708060281,Videos,16213524,118,7,11,yes,https://www.linkedin.com/posts/ibm_india-ibmpartners-genai-activity-7164124071209684992-Akay?utm_source=share&utm_medium=member_desktop,16-02-2024
7163917249441939456,1708010971,Videos,16213524,203,13,12,no,https://www.linkedin.com/posts/ibm_innovation-thrives-when-diverse-perspectives-activity-7163917249441939456-0IPo?utm_source=share&utm_medium=member_desktop,15-02-2024
7163844182787211264,1707993550,Videos,16213524,137,1,18,no,https://www.linkedin.com/posts/ibm_ai-ibm-responsibleai-activity-7163844182787211264-IEST?utm_source=share&utm_medium=member_desktop,15-02-2024
